size	timer	Pipes	sharedmem	sockets
4	gettime	1382	3683	5689
4	rdtsc	928	3680	5787
16	gettime	1460	3752	6003
16	rdtsc	952	3720	6305
64	gettime	1390	3984	5504
64	rdtsc	951	3985	6352
256	gettime	1504	4898	5252
256	rdtsc	974	4871	6099
1024	gettime	1678	8387	6343
1024	rdtsc	1042	8368	6258
4096	gettime	2455	22441	5508
4096	rdtsc	1588	22307	6352
16384	gettime	5226	78307	8904
16384	rdtsc	3769	78058	9166
65536	gettime	18095	301261	16755
65536	rdtsc	14310	301892	15240
262144	gettime	72622	1201510	61919
262144	rdtsc	58324	1196826	60125
524288	gettime	146682	2395788	124026
524288	rdtsc	111780	2395543	119740
